codigo,descricao
D71,Distúrbios da função neutrofílica
D72,Outros distúrbios das células sanguíneas
D73,Doenças do baço
D74,Metabolismo do ferro
D75,Outras doenças do sangue
D76,Doenças do sistema reticuloendotelial
D77,Doenças do sangue em outras doenças
D80,Deficiência de anticorpos
D81,Deficiência de imunidade combinada
D82,Deficiência de imunidade associada
D83,Deficiência de imunidade comum
D84,Outras deficiências de imunidade
D86,Sarcoidose
D89,Outros distúrbios do sistema imune
E00,Síndrome de deficiência de iodo
E01,Doenças da tireoide relacionadas ao iodo
E02,Hipotireoidismo subclínico
E03,Outros hipotireoidismos
E04,Bócio não tóxico
E05,Tireotoxicose
E06,Tireoidite
E07,Outras doenças da tireoide
E10,Diabetes tipo 1
E11,Diabetes tipo 2
E12,Diabetes relacionado à desnutrição
E13,Outros diabetes
E14,Diabetes não especificado
E15,Coma hipoglicêmico
E16,Outros distúrbios da secreção pancreática
E20,Hipoparatireoidismo
E21,Hiperparatireoidismo
E22,Hiperfunção da hipófise
E23,Hipofunção da hipófise
E24,Síndrome de Cushing
E25,Distúrbios adrenogenitais
E26,Hiperaldosteronismo
E27,Outras doenças da suprarrenal
E28,Distúrbios ovarianos
E29,Distúrbios testiculares
E30,Distúrbios da puberdade
E31,Distúrbios de múltiplas glândulas
E32,Doenças do timo
E34,Outros distúrbios endócrinos
E35,Distúrbios endócrinos em outras doenças
E40,Deficiência de proteínas
E41,Deficiência de proteínas
E42,Deficiência de proteínas
E43,Desnutrição
E44,Desnutrição
E45,Retardo de desenvolvimento por desnutrição
E46,Desnutrição não especificada
E50,Deficiência de vitamina A
E51,Deficiência de tiamina
E52,Deficiência de niacina
E53,Deficiência de outras vitaminas
E54,Deficiência de vitamina C
E55,Deficiência de vitamina D
E56,Deficiência de vitamina E
E58,Deficiência de cálcio
E59,Deficiência de selênio
E60,Deficiência de zinco
E61,Deficiência de outros nutrientes
E63,Outras deficiências nutricionais
E64,Sequelas de desnutrição
E65,Obesidade localizada
E66,Obesidade
E67,Outras hiperalimentações
E68,Sequelas de hiperalimentação
E70,Distúrbios do metabolismo de aminoácidos
E71,Distúrbios do metabolismo de aminoácidos
E72,Distúrbios do metabolismo de aminoácidos
E73,Intolerância à lactose
E74,Distúrbios do metabolismo de carboidratos
E75,Distúrbios do metabolismo de lipídeos
E76,Distúrbios do metabolismo de glicosaminoglicanos
E77,Distúrbios do metabolismo de glicoproteínas
E78,Distúrbios do metabolismo de lipoproteínas
E79,Distúrbios do metabolismo de purinas
E80,Distúrbios do metabolismo de porfirinas
E83,Distúrbios do metabolismo de minerais
E84,Fibrose cística
E85,Amiloidose
E86,Depleção de volume
E87,Distúrbios do equilíbrio hidroeletrolítico
E88,Outros distúrbios metabólicos
E89,Distúrbios pós-procedimentos
F00,Demência na doença de Alzheimer
F01,Demência vascular
F02,Demência em outras doenças
F03,Demência não especificada
F04,Síndrome amnésica orgânica
F05,Delirium
F06,Outros transtornos mentais orgânicos
F07,Transtornos de personalidade orgânicos
F09,Transtorno mental orgânico não especificado
F10,Transtornos mentais devidos ao uso de álcool
F11,Transtornos mentais devidos ao uso de opioides
F12,Transtornos mentais devidos ao uso de canabinoides
F13,Transtornos mentais devidos ao uso de sedativos
F14,Transtornos mentais devidos ao uso de cocaína
F15,Transtornos mentais devidos ao uso de estimulantes
F16,Transtornos mentais devidos ao uso de alucinógenos
F17,Transtornos mentais devidos ao uso de tabaco
F18,Transtornos mentais devidos ao uso de solventes
F19,Transtornos mentais devidos ao uso de múltiplas drogas
F20,Esquizofrenia
F21,Transtorno esquizotípico
F22,Transtorno delirante
F23,Transtorno psicótico agudo
F24,Transtorno psicótico induzido
F25,Transtorno esquizoafetivo
F28,Outros transtornos psicóticos
F29,Transtorno psicótico não especificado
F30,Episódio maníaco
F31,Transtorno afetivo bipolar
F32,Episódio depressivo
F33,Transtorno depressivo recorrente
F34,Transtorno de humor persistente
F38,Outros transtornos de humor
F39,Transtorno de humor não especificado
F40,Transtornos fóbicos
F41,Outros transtornos ansiosos
F42,Transtorno obsessivo-compulsivo
F43,Reação ao estresse
F44,Transtornos dissociativos
F45,Transtornos somatoformes
F48,Outros transtornos neuróticos
F50,Transtornos alimentares
F51,Transtornos do sono
F52,Disfunção sexual
F53,Transtornos mentais pós-parto
F54,Transtornos psicológicos associados
F55,Abuso de substâncias
F59,Síndromes comportamentais
F60,Transtornos de personalidade
F61,Transtornos mistos de personalidade
F62,Transtornos de personalidade
F63,Transtornos de hábitos e impulsos
F64,Transtornos da identidade de gênero
F65,Transtornos da preferência sexual
F66,Transtornos do desenvolvimento sexual
F68,Outros transtornos da personalidade
F69,Transtorno de personalidade não especificado
F70,Deficiência intelectual leve
F71,Deficiência intelectual moderada
F72,Deficiência intelectual grave
F73,Deficiência intelectual profunda
F78,Outras deficiências intelectuais
F79,Deficiência intelectual não especificada
F80,Transtornos do desenvolvimento da fala
F81,Transtornos do desenvolvimento da aprendizagem
F82,Transtorno do desenvolvimento motor
F83,Transtorno do desenvolvimento misto
F84,Transtornos globais do desenvolvimento
F88,Outros transtornos do desenvolvimento
F89,Transtorno do desenvolvimento não especificado
F90,Transtorno de déficit de atenção
F91,Transtorno de conduta
F92,Transtorno de conduta
F93,Transtornos emocionais na infância
F94,Transtornos do funcionamento social
F95,Tiques
F98,Outros transtornos comportamentais
F99,Transtorno mental não especificado
G00,Meningite bacteriana
G01,Meningite em outras doenças
G02,Meningite
G03,Meningite não especificada
G04,Encefalite
G05,Encefalite
G06,Abcesso intracraniano
G07,Abcesso intracraniano
G08,Flebite intracraniana
G09,Sequelas de doenças inflamatórias do SNC
G10,Doença de Huntington
G11,Ataxia hereditária
G12,Atrofia muscular espinhal
G13,Atrofia sistêmica
G14,Atrofia muscular
G20,Doença de Parkinson
G21,Parkinsonismo secundário
G22,Parkinsonismo
G23,Outras doenças degenerativas dos gânglios
G24,Distonia
G25,Outros transtornos extrapiramidais
G26,Doenças extrapiramidais
G30,Doença de Alzheimer
G31,Outras doenças degenerativas do SNC
G32,Doenças degenerativas do SNC
G35,Esclerose múltipla
G36,Outras desmielinizações
G37,Outras doenças desmielinizantes
G40,Epilepsia
G41,Estado de mal epiléptico
G43,Enxaqueca
G44,Outras síndromes de cefaleia
G45,Acidente isquêmico transitório
G46,Síndromes vasculares cerebrais
G47,Distúrbios do sono
G50,Distúrbios do nervo trigêmeo
G51,Distúrbios do nervo facial
G52,Distúrbios de outros nervos cranianos
G53,Distúrbios de nervos cranianos
G54,Distúrbios de raízes nervosas
G55,Compressão de raízes nervosas
G56,Mononeuropatias dos membros superiores
G57,Mononeuropatias dos membros inferiores
G58,Outras mononeuropatias
G59,Mononeuropatia em outras doenças
G60,Neuropatia hereditária
G61,Síndrome de Guillain-Barré
G62,Outras polineuropatias
G63,Polineuropatia em outras doenças
G64,Outros transtornos do sistema nervoso
G70,Miastenia gravis
G71,Distúrbios musculares
G72,Outras miopatias
G73,Miopatia em outras doenças
G80,Paralisia cerebral
G81,Hemiplegia
G82,Paraplégia
G83,Outras síndromes paralíticas
G90,Distúrbios do sistema nervoso autônomo
G91,Hidrocefalia
G92,Encefalopatia tóxica
G93,Outros distúrbios do encéfalo
G94,Distúrbios do encéfalo
G95,Doenças da medula espinhal
G96,Outros distúrbios do SNC
G97,Distúrbios pós-procedimentos
G98,Outros distúrbios do sistema nervoso
G99,Distúrbios do sistema nervoso
H00,Hordéolo e calázio
H01,Outras inflamações da pálpebra
H02,Outros distúrbios da pálpebra
H03,Distúrbios da pálpebra
H04,Distúrbios do aparelho lacrimal
H05,Distúrbios da órbita
H06,Distúrbios da órbita
H10,Conjuntivite
H11,Outros distúrbios da conjuntiva
H13,Distúrbios da conjuntiva
H15,Distúrbios da esclera
H16,Ceratite
H17,Cicatrizes da córnea
H18,Outros distúrbios da córnea
H19,Distúrbios da córnea
H20,Iridociclite
H21,Outros distúrbios da íris
H22,Distúrbios da íris
H25,Catarata senil
H26,Outras cataratas
H27,Outros distúrbios do cristalino
H28,Distúrbios do cristalino
H30,Inflamação coriorretiniana
H31,Outros distúrbios da coroide
H32,Distúrbios da coroide
H33,Descolamento da retina
H34,Oclusões vasculares da retina
H35,Outras doenças da retina
H36,Distúrbios da retina
H40,Glaucoma
H41,Outros distúrbios do humor aquoso
H42,Glaucoma
H43,Distúrbios do vítreo
H44,Distúrbios do globo ocular
H45,Distúrbios do vítreo
H46,Neurite óptica
H47,Outros distúrbios do nervo óptico
H48,Distúrbios do nervo óptico
H49,Estrabismo paralítico
H50,Outros estrabismos
H51,Outros distúrbios do movimento ocular
H52,Distúrbios da refração
H53,Distúrbios visuais
H54,Cegueira
H55,Nistagmo
H57,Outros distúrbios do olho
H58,Distúrbios do olho
H59,Distúrbios pós-procedimentos
H60,Otite externa
H61,Outros distúrbios do ouvido externo
H62,Distúrbios do ouvido externo
H65,Otite média não supurativa
H66,Otite média supurativa
H67,Otite média
H68,Eustáquio
H69,Outros distúrbios da trompa de Eustáquio
H70,Mastoidite
H71,Colesteatoma
H72,Perfuração da membrana timpânica
H73,Outros distúrbios da membrana timpânica
H74,Outros distúrbios do ouvido médio
H75,Distúrbios do ouvido médio
H80,Otosclerose
H81,Distúrbios do labirinto
H82,Síndromes vertiginosas
H83,Outros distúrbios do ouvido interno
H90,Perda de audição
H91,Outras perdas de audição
H92,Outros distúrbios do ouvido
H93,Outros distúrbios do ouvido
H94,Distúrbios do ouvido
H95,Distúrbios pós-procedimentos
I00,Febre reumática
I01,Febre reumática
I02,Coreia reumática
I05,Doença reumática da valva mitral
I06,Doença reumática da valva aórtica
I07,Doença reumática da valva tricúspide
I08,Doença reumática de múltiplas valvas
I09,Outras doenças reumáticas do coração
I10,Hipertensão essencial
I11,Doença cardíaca hipertensiva
I12,Doença renal hipertensiva
I13,Doença cardíaca e renal hipertensiva
I15,Hipertensão secundária
I20,Angina pectoris
I21,Infarto agudo do miocárdio
I22,Infarto do miocárdio recorrente
I23,Complicações de infarto
I24,Outras doenças isquêmicas cardíacas
I25,Doença isquêmica cardíaca crônica
I26,Embolia pulmonar
I27,Outras doenças pulmonares
I28,Outras doenças vasculares pulmonares
I30,Pericardite aguda
I31,Outras doenças do pericárdio
I32,Pericardite
I33,Endocardite aguda
I34,Doença da valva mitral
I35,Doença da valva aórtica
I36,Doença da valva tricúspide
I37,Doença da valva pulmonar
I38,Endocardite
I39,Endocardite
I40,Miocardite aguda
I41,Miocardite
I42,Cardiomiopatias
I43,Cardiomiopatia
I44,Bloqueio atrioventricular
I45,Outros distúrbios de condução
I46,Parada cardíaca
I47,Arritmias
I48,Fibrilação atrial
I49,Outras arritmias
I50,Insuficiência cardíaca
I51,Complicações de cardiopatias
I52,Doenças cardíacas
I60,Hemorragia subaracnóidea
I61,Hemorragia cerebral
I62,Outras hemorragias intracranianas
I63,Infarto cerebral
I64,Acidente vascular cerebral
I65,Oclusão de artérias cerebrais
I66,Oclusão de artérias cerebrais
I67,Outras doenças cerebrovasculares
I68,Doenças cerebrovasculares
I69,Sequelas de doenças cerebrovasculares
I70,Aterosclerose
I71,Aneurisma da aorta
I72,Outros aneurismas
I73,Outras doenças vasculares periféricas
I74,Embolia e trombose arterial
I77,Outras doenças das artérias
I78,Doenças dos capilares
I79,Doenças das artérias
I80,Trombose venosa
I81,Trombose da veia porta
I82,Outras tromboses venosas
I83,Varizes
I84,Hemorroidas
I85,Varizes esofágicas
I86,Varizes de outros sítios
I87,Outros distúrbios das veias
I88,Linfadenite
I89,Outros distúrbios do sistema linfático
I95,Hipotensão
I97,Distúrbios do sistema circulatório
I98,Doenças vasculares
I99,Doenças do aparelho circulatório
J00,Rinofaringite aguda
J01,Sinusite aguda
J02,Faringite aguda
J03,Amigdalite aguda
J04,Laringite aguda
J05,Laringite e traqueíte
J06,Infecções agudas das vias respiratórias
J09,Gripe
J10,Gripe
J11,Gripe
J12,Pneumonia viral
J13,Pneumonia por Streptococcus
J14,Pneumonia por Haemophilus
J15,Pneumonia bacteriana
J16,Pneumonia por outros agentes
J17,Pneumonia em outras doenças
J18,Pneumonia não especificada
J20,Bronquite aguda
J21,Bronquiolite aguda
J22,Infecção aguda das vias respiratórias
J30,Rinite alérgica
J31,Rinite crônica
J32,Sinusite crônica
J33,Pólipo nasal
J34,Outros distúrbios do nariz
J35,Doenças crônicas das amígdalas
J36,Abcesso periamigdaliano
J37,Laringite crônica
J38,Doenças das cordas vocais
J39,Outras doenças do trato respiratório
J40,Bronquite crônica
J41,Bronquite crônica
J42,Bronquite crônica não especificada
J43,Enfisema
J44,Outras doenças pulmonares
J45,Asma
J46,Estado asmático
J47,Bronquiectasia
J60,Pneumoconiose
J61,Pneumoconiose
J62,Pneumoconiose
J63,Pneumoconiose
J64,Pneumoconiose
J65,Pneumoconiose
J66,Pneumoconiose
J68,Doenças respiratórias por agentes
J69,Pneumonia por aspiração
J70,Doenças respiratórias por outros agentes
J80,Síndrome do desconforto respiratório
J81,Edema pulmonar
J82,Eosinofilia pulmonar
J84,Outras doenças pulmonares
J85,Abcesso do pulmão
J86,Empiema
J90,Derrame pleural
J91,Derrame pleural
J92,Placa pleural
J93,Pneumotórax
J94,Outras doenças da pleura
J95,Distúrbios respiratórios pós-procedimentos
J96,Insuficiência respiratória
J98,Outros distúrbios respiratórios
J99,Distúrbios respiratórios
K00,Distúrbios do desenvolvimento dentário
K01,Dentes inclusos
K02,Cárie dentária
K03,Outras doenças dos dentes
K04,Doenças da polpa
K05,Gengivite
K06,Outros distúrbios da gengiva
K07,Anomalias dentofaciais
K08,Outros distúrbios dos dentes
K09,Cistos da boca
K10,Doenças dos maxilares
K11,Doenças das glândulas salivares
K12,Estomatite
K13,Outras doenças dos lábios
K14,Doenças da língua
K20,Esofagite
K21,Doença do refluxo gastroesofágico
K22,Outras doenças do esôfago
K23,Distúrbios do esôfago
K25,Úlcera gástrica
K26,Úlcera duodenal
K27,Úlcera péptica
K28,Úlcera gastrojejunal
K29,Gastrite
K30,Dispepsia
K31,Outras doenças do estômago
K35,Apendicite aguda
K36,Apendicite
K37,Apendicite
K38,Outras doenças do apêndice
K40,Hérnia inguinal
K41,Hérnia femoral
K42,Hérnia umbilical
K43,Hérnia ventral
K44,Hérnia diafragmática
K45,Outras hérnias
K46,Hérnia não especificada
K50,Doença de Crohn
K51,Colite ulcerativa
K52,Outras gastroenterites
K55,Doenças vasculares do intestino
K56,Íleo paralítico
K57,Doença diverticular
K58,Síndrome do intestino irritável
K59,Outros distúrbios intestinais
K60,Fissura anal
K61,Abcesso anal
K62,Outras doenças do ânus
K63,Outras doenças do intestino
K65,Peritonite
K66,Outros distúrbios do peritônio
K67,Distúrbios do peritônio
K70,Doença alcoólica do fígado
K71,Doença hepática tóxica
K72,Insuficiência hepática
K73,Hepatite crônica
K74,Fibrose hepática
K75,Outras doenças inflamatórias do fígado
K76,Outras doenças do fígado
K77,Distúrbios do fígado
K80,Colelitíase
K81,Colecistite
K82,Outras doenças da vesícula biliar
K83,Outras doenças das vias biliares
K85,Pancreatite aguda
K86,Outras doenças do pâncreas
K87,Distúrbios do pâncreas
K90,Distúrbios da absorção intestinal
K91,Distúrbios do aparelho digestivo
K92,Outras doenças do aparelho digestivo
K93,Distúrbios do aparelho digestivo
L00,Síndrome estafilocócica
L01,Impetigo
L02,Abcesso cutâneo
L03,Celulite
L04,Linfadenite aguda
L05,Cisto pilonidal
L08,Outras infecções locais
L10,Pênfigo
L11,Outras doenças bolhosas
L12,Pênfigoide
L13,Outras doenças bolhosas
L14,Doenças bolhosas
L20,Dermatite atópica
L21,Dermatite seborreica
L22,Dermatite das fraldas
L23,Dermatite alérgica
L24,Dermatite de contato
L25,Dermatite de contato
L26,Dermatite esfoliativa
L27,Dermatite por ingestão
L28,Líquen simples
L29,Prurido
L30,Outras dermatites
L40,Psoríase
L41,Parapsoríase
L42,Líquen plano
L43,Líquen plano
L44,Outras doenças papulosquamosa
L45,Doenças papulosquamosa
L50,Urticária
L51,Eritema multiforme
L52,Eritema nodoso
L53,Outras doenças eritematosas
L54,Eritema
L55,Queimadura solar
L56,Outros efeitos da radiação
L57,Alterações da pele por radiação
L58,Radiodermatite
L59,Outros efeitos da radiação
L60,Doenças das unhas
L62,Doenças das unhas
L63,Alopécia areata
L64,Alopécia androgênica
L65,Outras alopécias
L66,Cicatriz alopécica
L67,Doenças dos pelos
L68,Hipertricose
L70,Achne
L71,Rosácea
L72,Cistos cutâneos
L73,Outras doenças dos folículos
L74,Distúrbios da sudorese
L75,Distúrbios das glândulas apócrinas
L80,Vitiligo
L81,Outros distúrbios da pigmentação
L82,Dermatose seborreica
L83,Acantose nigricans
L84,Calos
L85,Outras doenças da pele
L86,Doenças da pele
L87,Doenças da pele
L88,Pioderma gangrenoso
L89,Úlcera de pressão
L90,Distúrbios atróficos da pele
L91,Distúrbios hipertróficos
L92,Distúrbios granulomatosos
L93,Lúpus eritematoso
L94,Outras doenças do tecido conjuntivo
L95,Vasculite cutânea
L97,Úlcera de membros inferiores
L98,Outras doenças da pele
L99,Doenças da pele
M00,Artrite piogênica
M01,Artrite infecciosa
M02,Artrite reativa
M03,Artrite pós-infecciosa
M05,Artrite reumatoide
M06,Outras artrites reumatoides
M07,Artrite psoriásica
M08,Artrite juvenil
M09,Artrite juvenil
M10,Gota
M11,Outras artrites por cristais
M12,Outras artrites
M13,Outras artrites
M14,Artropatias
M15,Osteoartrite generalizada
M16,Osteoartrite do quadril
M17,Osteoartrite do joelho
M18,Osteoartrite da mão
M19,Outras osteoartrites
M20,Deformidades adquiridas dos dedos
M21,Outras deformidades adquiridas
M22,Distúrbios da patela
M23,Distúrbios internos do joelho
M24,Outros distúrbios articulares
M25,Outros distúrbios articulares
M30,Panarterite nodosa
M31,Outras vasculites
M32,Lúpus eritematoso sistêmico
M33,Dermatomiosite
M34,Esclerose sistêmica
M35,Outras doenças do tecido conjuntivo
M36,Doenças do tecido conjuntivo
M40,Cifose
M41,Escoliose
M42,Osteocondrose da coluna
M43,Outras deformidades da coluna
M45,Espondilite anquilosante
M46,Outras espondilopatias
M47,Espondilose
M48,Outras espondilopatias
M49,Espondilopatias
M50,Distúrbios dos discos cervicais
M51,Distúrbios dos discos lombares
M53,Outras dorsopatias
M54,Dorsalgia
